,en_US,pt_BR
%GLASS_SHARD%,Glass shard,Pedaço de vidro
%GLASS_SHARD_DESCRIPTION%,"A piece of glass, by the shape of the glass it appears to be from a glass.","Um pedaço de vidro, pelo formato do vidro ele aparenta ser de um copo."
%UTILITY_ROOM_KEY%,Utility room key,Chave da despensa
%UTILITY_ROOM_KEY_DESCRIPTION%,"A simple key, it probably opens the left corridor door.","Uma chave simples, ela provavelmente abre a porta do corredor esquerdo."
%LAMP%,Lampion,Lampião
%LAMP_DESCRIPTION%,"A lampiom to use in dark places, it will be very useful to light up the basement and other places.","Um lampião para usar em locais escuros, ele será bem útil para iluminar o porão e outros locais."
%CLEANING_ROOM_KEY%,Cleaning room key,Chave da sala de limpeza
%CLEANING_ROOM_KEY_DESCRIPTION%,"A clean silver key, it opens the door next to the basement vault.","Uma chave prateada e limpa, ela abre a porta ao lado do cofre do porão."
%HAND_CRANK%,Hand crank,Manivela
%HAND_CRANK_DESCRIPTION%,"An iron crank, it should fit into the door on the right corridor.","Uma manivela de ferro, ela deve encaixar na porta do corredor direito."
%FLOOR_2_KEY%,2st floor key,Chave do segundo andar
%FLOOR_2_KEY_DESCRIPTION%,"A half-worn key, it should fit the staircase room.","Uma chave meio desgastada, ela deve servir na porta da escadaria."
%HALLWAY_TOP_KEY%,Hallway top key,Chave do corredor superior
%HALLWAY_TOP_KEY_DESCRIPTION%,"A brand new key, it probably opens the first upper door in the bottom hallway.","Uma chave bem novinha como fosse nova, ela provavelmente abre a primeira porta superior do corredor inferior."
%DORMITORY_KEY%,Dormitory key,Chave dos dormitórios
%DORMITORY_KEY_DESCRIPTION%,"A thin key, it opens the remaining dorm doors.","Uma chave fina, ela abre as portas restantes dos dormitórios."
%RUSTY_KEY%,Rusty key,Chave enferrujada
%RUSTY_KEY_DESCRIPTION%,"An incredibly rusty key, it opens the room to the third floor.","Uma chave incrivelmente enferrujada, ela abre a sala para o terceiro andar"
%CROWBAR%,Crowbar,Pé de cabra
%CROWBAR_DESCRIPTION%,"A very rigid crowbar, it's strong enough to turn a valve.","Um pé de cabra bem rígido, ele é forte o bastante para girar uma válvula."
%KLISHE_ROOM_KEY_TAKE%,Klishe’s room key,Chave do quarto de Klishe
%KLISHE_ROOM_KEY_DESCRIPTION%,"An incredibly shiny key, it opens Klishe's room.","Uma chave incrivelmente brilhante, ela abre o quarto de Klishe."
%MANSION_KEY%,Mansion key,Chave da mansão
%MANSION_KEY_DESCRIPTION%,"A strangely shaped key, it opens the main door. And how are you reading this?","Uma chave com um formato estranho, ela abre a porta principal. E como você está lendo isto?"
%ENTRANCE%,Entrance,Entrada
%CORRIDOR_LEFT%,Left corridor,Corredor esquerdo
%KITCHEN%,Kitchen,Cozinha
%DINING_ROOM%,Dining room,Sala de jantar
%CORRIDOR_RIGHT%,Right corridor,Corredor direito
%UTILITY_ROOM%,Utility room key,Despensa
%STAIRCASE%,Staircase,Escadaria
%BASEMENT_STAIRS%,Basement Stairs,Escadaria do porão
%BASEMENT%,Basement,Porão
%DEPOSIT_ROOM_1%,Deposit room,Sala de deposito
%DEPOSIT_ROOM_2%,Deposit room,Sala de deposito
%DEPOSIT_ROOM_3%,Deposit room,Sala de deposito
%DEPOSIT_ROOM_4%,Deposit room,Sala de deposito
%DEPOSIT_ROOM_5%,Deposit room,Sala de deposito
%DEPOSIT_ROOM_6%,Deposit room,Sala de deposito
%DEPOSIT_ROOM_7%,Deposit room,Sala de deposito
%DEPOSIT_ROOM_8%,Deposit room,Sala de deposito
%CLEANING_ROOM%,Cleaning room,Sala de limpeza.
%FLOOR_2_STAIRS%,2st floor stairs,Escadaria do segundo andar
%HALLWAY_BOTTOM%,Hallway bottom,Corredor inferior
%DORMITORY_1%,Dormitory room,Dormitório
%DORMITORY_2%,Dormitory room,Dormitório
%DORMITORY_3%,Dormitory room,Dormitório
%DORMITORY_4%,Dormitory room,Dormitório
%DORMITORY_5%,Dormitory room,Dormitório
%DORMITORY_6%,Dormitory room,Dormitório
%DORMITORY_7%,Dormitory room,Dormitório
%PLAYROOM%,Playroom,Sala de jogos
%BOTTOM_STORAGE_ROOM%,Bottom storage room,Armazém inferior
%LIVING_ROOM%,Living room,Sala de estar
%OLD_ROOM%,Old room,Sala antiga
%FLOOR_3_STAIRS%,3st floor stairs,Escadaria do terceiro andar
%HALLWAY_TOP%,Hallway top key,Corredor superior
%ATTIC%,Attic,Sotão
%TOP_STORAGE_ROOM%,Top storage room,Armazém superior
%BATHROOM%,Bathroom,Banheiro
%RESTROOM%,Restroom,Lavatório
%TOP_ATTIC%,Top attic,Sotão superior
%KLISHE_ROOM%,Klishe’s room,Quarto de Klishe
%SAVE_GAME%,Save slot,Salvar slot
%LOAD_GAME%,Load slot,Carregar slot
%CONTINUE_GAME%,Continue,Continuar
%NEW_GAME%,New game,Novo jogo
%CONTINUE%,Continue,Continuar
%CONFIG%,Config,Configurações
%QUIT%,Quit,Sair do jogo
%EXIT%,Exit,Sair
%CONFIRM%,Confirm,Confirmar
%NAME%,Name:,Nome:
%TEXT_SPEED%,Text speed,Velocidade do texto
%LANGUAGE%,Language,Linguagem
%NARRATOR%,Narrator,Narrador
%INTRO1%,There is a legend of an abandoned mansion in the forest that tells the existence of a monster whose identity is the evil of the very person who invades the mansion.,Existe uma lenda de uma mansão abandonada na floresta que conta a existência de um monstro cuja identidade é o mal da própria pessoa que invade a mansão.
%INTRO2%,But something that is real is the fact that the people who entered this mansion never returned.,"Mas algo que é real, é o fato de que as pessoas que entraram nessa mansão, nunca mais retornaram."
%INTRO3%,"Oh, damn, my car is broken, now what? What do I do... Hey, maybe I can get some help from someone in that mansion?","Oh, droga, meu carro está quebrado, e agora? O que eu faço... Ei, talvez eu possa conseguir alguma ajuda de alguém naquela mansão?"
%INTRO4%,"Well, I think I'm going to enter this mansion that is at least suspicious.","Bom, acho que vou entrar nessa mansão que é no mínimo suspeita."
%FIRST_TIME1%,HELLO!!! Is anyone there!?,OLÁ!!! Tem alguém aí!?
%FIRST_TIME2%,"Looks like there's no one, I think I should go now.","Parece que não tem ninguém, acho que eu deveria ir embora."
%FIRST_TIME3%,What was that noise!?,O que foi aquele barulho!?
%FIRST_TIME4%,I should go investigate.,Eu deveria ir investigar.
%BASEMENT_SAFER_LOCKED%,It is locked by a lever mechanism.,Está trancado por um mécanismo de alavancas.
